REGIÃO ;PAÍS;VALOR DO CONSUMO EM BILHÕES m3;ANO
América do Norte;Canadá;109,59275;2014
América do Norte;Estados Unidos;722,2604554;2014
América do Norte;México;78,84844744;2014
Américas Central e do Sul;Argentina;46,15497906;2014
Américas Central e do Sul;Brasil;40,65547425;2014
Américas Central e do Sul;Chile;4,3989312;2014
Américas Central e do Sul;Colômbia;11,38406185;2014
Américas Central e do Sul;Equador;0,872552048;2014
Américas Central e do Sul;Peru;6,744971097;2014
Américas Central e do Sul;Trinidad e Tobago;17,04338612;2014
Américas Central e do Sul;Venezuela;34,02659938;2014
Europa e Eurásia;Outros;7,174602687;2014
Europa e Eurásia;Alemanha;73,89502778;2014
Europa e Eurásia;Áustria;7,510975575;2014
Europa e Eurásia;Azerbaijão;9,854446055;2014
Europa e Eurásia;Bielorrússia;19,12143953;2014
Europa e Eurásia;Bélgica;14,463;2014
Europa e Eurásia;Bulgaria;2,73615;2014
Europa e Eurásia;Cazaquistão;14,97758623;2014
Europa e Eurásia;Croácia;2,348571111;2014
Europa e Eurásia;Dinamarca;3,289438226;2014
Europa e Eurásia;Eslováquia;4,387225;2014
Europa e Eurásia;Eslovênia;0,728081527;2014
Europa e Eurásia;Estônia;0,494694444;2014
Europa e Eurásia;Espanha;27,52389992;2014
Europa e Eurásia;Finlândia ;2,655638889;2014
Europa e Eurásia;França;37,90835053;2014
Europa e Eurásia;Grécia ;2,844269041;2014
Europa e Eurásia;Holanda;34,47222222;2014
Europa e Eurásia;Hungria;8,119611111;2014
Europa e Eurásia;Irlanda;4,328269416;2014
Europa e Eurásia;Itália;58,97159341;2014
Europa e Eurásia;Letônia;1,2637625;2014
Europa e Eurásia;Lituânia;2,4017113;2014
Europa e Eurásia;Luxemburgo;0,98059045;2014
Europa e Eurásia;Macedônia;0,129250005;2014
Europa e Eurásia;Noruega;4,301442928;2014
Europa e Eurásia;Polônia;17,01361111;2014
Europa e Eurásia;Portugal;4,125960228;2014
Europa e Eurásia;República Tcheca;7,1898;2014
Europa e Eurásia;Reino Unido;70,05550747;2014
Europa e Eurásia;Romênia;11,03615;2014
Europa e Eurásia;Rússia;422,198243;2014
Europa e Eurásia;Suécia;0,92245;2014
Europa e Eurásia;Suíça;2,79425;2014
Europa e Eurásia;Turquia;46,6465275;2014
Europa e Eurásia;Turcomenistão;19,96299607;2014
Europa e Eurásia;Ucrânia;40,31710914;2014
Europa e Eurásia;Uzbequistão;48,5485;2014
Europa e Eurásia;Outros;9,377803501;2014
Oriente Médio;Arábia Saudita;97,261;2014
Oriente Médio;Catar;38,56818482;2014
Oriente Médio;Coveite;17,87114318;2014
Oriente Médio;Emirados Árabes Unidos;63,43496793;2014
Oriente Médio;Irã;173,4009439;2014
Oriente Médio;Iraque;7,5308343;2014
Oriente Médio;Israel;7,248275;2014
Oriente Médio;Omã;21,25777886;2014
Oriente Médio;Outros;20,93673593;2014
África;África do Sul;4,298224547;2014
África;África Central;3,60791724;2014
África;África Ocidental;15,95204451;2014
África;África Oriental;1,255106924;2014
África;Argélia;36,091825;2014
África;Egito;46,2187495;2014
África;Marrocos;1,109615;2014
África;Outros Norte da África;11,32003391;2014
Ásia-Pacífico;Austrália;40,09991719;2014
Ásia-Pacífico;Bangladesh;23,02227158;2014
Ásia-Pacífico;China;188,3631356;2014
Ásia-Pacífico;Cingapura;10,38951881;2014
Ásia-Pacífico;Coreia do Sul;50,0039991;2014
Ásia-Pacífico;Filipinas;3,534256701;2014
Ásia-Pacífico;Hong Kong;2,3870397;2014
Ásia-Pacífico;Índia;48,50156676;2014
Ásia-Pacífico;Indonésia;41,46929839;2014
Ásia-Pacífico;Japão;124,7521187;2014
Ásia-Pacífico;Malásia;44,709209;2014
Ásia-Pacífico;Nova Zelândia;5,231399466;2014
Ásia-Pacífico;Paquistão;34,98668945;2014
Ásia-Pacífico;Tailândia;49,94473217;2014
Ásia-Pacífico;Taiwan;18,86816866;2014
Ásia-Pacífico;Vietnã;9,85265;2014
Ásia-Pacífico;Outros;10,10770741;2014
América do Norte;Canadá;109,75305;2015
América do Norte;Estados Unidos;743,5794943;2015
América do Norte;México;80,78291622;2015
Américas Central e do Sul;Argentina;46,65256827;2015
Américas Central e do Sul;Brasil;42,93654087;2015
Américas Central e do Sul;Chile;4,824285657;2015
Américas Central e do Sul;Colômbia;11,21172938;2015
Américas Central e do Sul;Equador;0,821033212;2015
Américas Central e do Sul;Peru;7,06608455;2015
Américas Central e do Sul;Trinidad e Tobago;17,01515195;2015
Américas Central e do Sul;Venezuela;37,03823582;2015
Europa e Eurásia;Outros;7,105573868;2015
Europa e Eurásia;Alemanha;76,95361111;2015
Europa e Eurásia;Áustria;7,968095001;2015
Europa e Eurásia;Azerbaijão;11,1465525;2015
Europa e Eurásia;Bielorrússia;17,89891052;2015
Europa e Eurásia;Bélgica;15,8499;2015
Europa e Eurásia;Bulgaria;3,00035;2015
Europa e Eurásia;Cazaquistão;15,3346237;2015
Europa e Eurásia;Croácia;2,421231111;2015
Europa e Eurásia;Dinamarca;3,309252611;2015
Europa e Eurásia;Eslováquia;4,5118;2015
Europa e Eurásia;Eslovênia;0,772434021;2015
Europa e Eurásia;Estônia;0,439777778;2015
Europa e Eurásia;Espanha;28,53782542;2015
Europa e Eurásia;Finlândia ;2,287861111;2015
Europa e Eurásia;França;40,75176458;2015
Europa e Eurásia;Grécia ;3,07138797;2015
Europa e Eurásia;Holanda;34,08055556;2015
Europa e Eurásia;Hungria;8,710666667;2015
Europa e Eurásia;Irlanda;4,376369;2015
Europa e Eurásia;Itália;64,3154178;2015
Europa e Eurásia;Letônia;1,27435;2015
Europa e Eurásia;Lituânia;2,403765;2015
Europa e Eurásia;Luxemburgo;0,894273925;2015
Europa e Eurásia;Macedônia;0,130195524;2015
Europa e Eurásia;Noruega;4,509636647;2015
Europa e Eurásia;Polônia;17,09880556;2015
Europa e Eurásia;Portugal;4,819863296;2015
Europa e Eurásia;República Tcheca;7,53945;2015
Europa e Eurásia;Reino Unido;72,04545754;2015
Europa e Eurásia;Romênia;10,370825;2015
Europa e Eurásia;Rússia;408,6748223;2015
Europa e Eurásia;Suécia;0,891175;2015
Europa e Eurásia;Suíça;2,9855;2015
Europa e Eurásia;Turquia;45,9590425;2015
Europa e Eurásia;Turcomenistão;25,38630492;2015
Europa e Eurásia;Ucrânia;31,98869223;2015
Europa e Eurásia;Uzbequistão;46,344375;2015
Europa e Eurásia;Outros;9,702085819;2015
Oriente Médio;Arábia Saudita;99,2275;2015
Oriente Médio;Catar;42,49542362;2015
Oriente Médio;Coveite;20,32270697;2015
Oriente Médio;Emirados Árabes Unidos;71,54823076;2015
Oriente Médio;Irã;184,0194852;2015
Oriente Médio;Iraque;7,30109675;2015
Oriente Médio;Israel;8,052575;2015
Oriente Médio;Omã;22,97065503;2015
Oriente Médio;Outros;22,39735837;2015
África;África do Sul;4,318626836;2015
África;África Central;3,451302442;2015
África;África Ocidental;23,90684824;2015
África;África Oriental;1,607924893;2015
África;Argélia;37,9225;2015
África;Egito;46,01877088;2015
África;Marrocos;1,129837188;2015
África;Outros Norte da África;9,699219859;2015
Ásia-Pacífico;Austrália;42,10696996;2015
Ásia-Pacífico;Bangladesh;25,85406276;2015
Ásia-Pacífico;China;194,689528;2015
Ásia-Pacífico;Cingapura;11,57865095;2015
Ásia-Pacífico;Coreia do Sul;45,6497271;2015
Ásia-Pacífico;Filipinas;3,322501173;2015
Ásia-Pacífico;Hong Kong;3,045637125;2015
Ásia-Pacífico;Índia;47,80683751;2015
Ásia-Pacífico;Indonésia;41,04607231;2015
Ásia-Pacífico;Japão;118,7176461;2015
Ásia-Pacífico;Malásia;43,945118;2015
Ásia-Pacífico;Nova Zelândia;4,800049604;2015
Ásia-Pacífico;Paquistão;36,5341804;2015
Ásia-Pacífico;Tailândia;50,96095611;2015
Ásia-Pacífico;Taiwan;20,18035999;2015
Ásia-Pacífico;Vietnã;10,2869;2015
Ásia-Pacífico;Outros;12,01196769;2015
América do Norte;Canadá;105,8657;2016
América do Norte;Estados Unidos;749,0989399;2016
América do Norte;México;83,03003672;2016
Américas Central e do Sul;Argentina;48,21001119;2016
Américas Central e do Sul;Brasil;37,08788245;2016
Américas Central e do Sul;Chile;5,916300789;2016
Américas Central e do Sul;Colômbia;11,79159588;2016
Américas Central e do Sul;Equador;0,886309093;2016
Américas Central e do Sul;Peru;7,605224601;2016
Américas Central e do Sul;Trinidad e Tobago;15,10459286;2016
Américas Central e do Sul;Venezuela;37,54370026;2016
Europa e Eurásia;Outros;7,42417756;2016
Europa e Eurásia;Alemanha;84,88475;2016
Europa e Eurásia;Áustria;8,342190282;2016
Europa e Eurásia;Azerbaijão;10,9306475;2016
Europa e Eurásia;Bielorrússia;17,78751622;2016
Europa e Eurásia;Bélgica;16,1892;2016
Europa e Eurásia;Bulgaria;3,12505;2016
Europa e Eurásia;Cazaquistão;15,80606646;2016
Europa e Eurásia;Croácia;2,524353333;2016
Europa e Eurásia;Dinamarca;3,365253265;2016
Europa e Eurásia;Eslováquia;4,530275;2016
Europa e Eurásia;Eslovênia;0,819060127;2016
Europa e Eurásia;Estônia;0,483361111;2016
Europa e Eurásia;Espanha;29,12120018;2016
Europa e Eurásia;Finlândia ;2,00525;2016
Europa e Eurásia;França;44,52993958;2016
Europa e Eurásia;Grécia ;3,9978;2016
Europa e Eurásia;Holanda;35,15277778;2016
Europa e Eurásia;Hungria;9,336222222;2016
Europa e Eurásia;Irlanda;4,920653;2016
Europa e Eurásia;Itália;67,54583653;2016
Europa e Eurásia;Letônia;1,3195875;2016
Europa e Eurásia;Lituânia;2,141865;2016
Europa e Eurásia;Luxemburgo;0,824701825;2016
Europa e Eurásia;Macedônia;0,204733357;2016
Europa e Eurásia;Noruega;4,372412742;2016
Europa e Eurásia;Polônia;18,25761111;2016
Europa e Eurásia;Portugal;5,078813347;2016
Europa e Eurásia;República Tcheca;8,159975;2016
Europa e Eurásia;Reino Unido;81,18699915;2016
Europa e Eurásia;Romênia;10,49461086;2016
Europa e Eurásia;Rússia;420,6463901;2016
Europa e Eurásia;Suécia;0,982925;2016
Europa e Eurásia;Suíça;3,1365;2016
Europa e Eurásia;Turquia;44,5046;2016
Europa e Eurásia;Turcomenistão;24,10617992;2016
Europa e Eurásia;Ucrânia;31,42084562;2016
Europa e Eurásia;Uzbequistão;43,32693051;2016
Europa e Eurásia;Outros;9,760639332;2016
Oriente Médio;Arábia Saudita;105,317;2016
Oriente Médio;Catar;40,40722684;2016
Oriente Médio;Coveite;21,1499134;2016
Oriente Médio;Emirados Árabes Unidos;72,72543017;2016
Oriente Médio;Irã;196,3190475;2016
Oriente Médio;Iraque;9,8955781;2016
Oriente Médio;Israel;9,24945;2016
Oriente Médio;Omã;22,84051727;2016
Oriente Médio;Outros;23,04189918;2016
África;África do Sul;4,548936597;2016
África;África Central;4,398133847;2016
África;África Ocidental;24,6495523;2016
África;África Oriental;2,03489456;2016
África;Argélia;38,59625;2016
África;Egito;49,3541125;2016
África;Marrocos;1,14819546;2016
África;Outros Norte da África;10,27456375;2016
Ásia-Pacífico;Austrália;41,72607232;2016
Ásia-Pacífico;Bangladesh;26,45094657;2016
Ásia-Pacífico;China;209,4410888;2016
Ásia-Pacífico;Cingapura;11,90210866;2016
Ásia-Pacífico;Coreia do Sul;47,6436906;2016
Ásia-Pacífico;Filipinas;3,809864249;2016
Ásia-Pacífico;Hong Kong;3,12656521;2016
Ásia-Pacífico;Índia;50,79098186;2016
Ásia-Pacífico;Indonésia;39,05544462;2016
Ásia-Pacífico;Japão;116,4174455;2016
Ásia-Pacífico;Malásia;42,37466701;2016
Ásia-Pacífico;Nova Zelândia;4,793319487;2016
Ásia-Pacífico;Paquistão;38,65067224;2016
Ásia-Pacífico;Tailândia;50,56425511;2016
Ásia-Pacífico;Taiwan;20,96540481;2016
Ásia-Pacífico;Vietnã;10,23865;2016
Ásia-Pacífico;Outros;11,39737302;2016
América do Norte;Canadá;109,69975;2017
América do Norte;Estados Unidos;739,44204;2017
América do Norte;México;86,39365895;2017
Américas Central e do Sul;Argentina;48,30002855;2017
Américas Central e do Sul;Brasil;37,63202835;2017
Américas Central e do Sul;Chile;5,614596942;2017
Américas Central e do Sul;Colômbia;12,15919245;2017
Américas Central e do Sul;Equador;0,823237015;2017
Américas Central e do Sul;Peru;6,743276168;2017
Américas Central e do Sul;Trinidad e Tobago;15,26245522;2017
Américas Central e do Sul;Venezuela;38,81219823;2017
Europa e Eurásia;Outros;7,260589754;2017
Europa e Eurásia;Alemanha;89,72966667;2017
Europa e Eurásia;Áustria;9,069853848;2017
Europa e Eurásia;Azerbaijão;10,616605;2017
Europa e Eurásia;Bielorrússia;18,20875516;2017
Europa e Eurásia;Bélgica;16,4115;2017
Europa e Eurásia;Bulgaria;3,21365;2017
Europa e Eurásia;Cazaquistão;15,87497888;2017
Europa e Eurásia;Croácia;2,899666944;2017
Europa e Eurásia;Dinamarca;3,232919764;2017
Europa e Eurásia;Eslováquia;4,810975;2017
Europa e Eurásia;Eslovênia;0,862206026;2017
Europa e Eurásia;Estônia;0,459194444;2017
Europa e Eurásia;Espanha;31,71082553;2017
Europa e Eurásia;Finlândia ;1,832944444;2017
Europa e Eurásia;França;44,76569898;2017
Europa e Eurásia;Grécia ;4,8213;2017
Europa e Eurásia;Holanda;36,09166667;2017
Europa e Eurásia;Hungria;9,934138889;2017
Europa e Eurásia;Irlanda;5,018880657;2017
Europa e Eurásia;Itália;71,57879708;2017
Europa e Eurásia;Letônia;1,1963875;2017
Europa e Eurásia;Lituânia;2,228886;2017
Europa e Eurásia;Luxemburgo;0,8061143;2017
Europa e Eurásia;Macedônia;0,26327994;2017
Europa e Eurásia;Noruega;4,58472798;2017
Europa e Eurásia;Polônia;19,18033333;2017
Europa e Eurásia;Portugal;6,339484628;2017
Europa e Eurásia;República Tcheca;8,374775;2017
Europa e Eurásia;Reino Unido;78,82989293;2017
Europa e Eurásia;Romênia;11,18807214;2017
Europa e Eurásia;Rússia;431,1005907;2017
Europa e Eurásia;Suécia;0,793175;2017
Europa e Eurásia;Suíça;3,14975;2017
Europa e Eurásia;Turquia;51,5680775;2017
Europa e Eurásia;Turcomenistão;25,34299242;2017
Europa e Eurásia;Ucrânia;30,19051131;2017
Europa e Eurásia;Uzbequistão;43,10043471;2017
Europa e Eurásia;Outros;10,36337523;2017
Oriente Médio;Arábia Saudita;109,250209;2017
Oriente Médio;Catar;43,07964911;2017
Oriente Médio;Coveite;21,02751611;2017
Oriente Médio;Emirados Árabes Unidos;74,43530666;2017
Oriente Médio;Irã;209,9395183;2017
Oriente Médio;Iraque;12,73590981;2017
Oriente Médio;Israel;9,8938475;2017
Oriente Médio;Omã;23,27926913;2017
Oriente Médio;Outros;23,39420848;2017
África;África do Sul;4,431436597;2017
África;África Central;4,497345425;2017
África;África Ocidental;22,98148266;2017
África;África Oriental;2,007597407;2017
África;Argélia;38,885;2017
África;Egito;55,93414144;2017
África;Marrocos;1,139285439;2017
África;Outros Norte da África;10,89422661;2017
Ásia-Pacífico;Austrália;41,24223851;2017
Ásia-Pacífico;Bangladesh;26,65808432;2017
Ásia-Pacífico;China;240,43837;2017
Ásia-Pacífico;Cingapura;12,2876539;2017
Ásia-Pacífico;Coreia do Sul;49,75639277;2017
Ásia-Pacífico;Filipinas;3,774427056;2017
Ásia-Pacífico;Hong Kong;3,116138287;2017
Ásia-Pacífico;Índia;53,73554482;2017
Ásia-Pacífico;Indonésia;38,5494193;2017
Ásia-Pacífico;Japão;116,986484;2017
Ásia-Pacífico;Malásia;41,79023322;2017
Ásia-Pacífico;Nova Zelândia;4,991356119;2017
Ásia-Pacífico;Paquistão;40,7395837;2017
Ásia-Pacífico;Tailândia;50,0837944;2017
Ásia-Pacífico;Taiwan;23,24506198;2017
Ásia-Pacífico;Vietnã;9,52069;2017
Ásia-Pacífico;Outros;11,41124476;2017
América do Norte;Canadá;115,737154;2018
América do Norte;Estados Unidos;817,1099766;2018
América do Norte;México;89,49371966;2018
Américas Central e do Sul;Argentina;48,70423968;2018
Américas Central e do Sul;Brasil;35,89079767;2018
Américas Central e do Sul;Chile;6,413709331;2018
Américas Central e do Sul;Colômbia;13,02763775;2018
Américas Central e do Sul;Equador;0,707233899;2018
Américas Central e do Sul;Peru;7,040308284;2018
Américas Central e do Sul;Trinidad e Tobago;15,30305082;2018
Américas Central e do Sul;Venezuela;33,40865532;2018
Europa e Eurásia;Outros;7,873388138;2018
Europa e Eurásia;Alemanha;88,29215198;2018
Europa e Eurásia;Áustria;8,686918911;2018
Europa e Eurásia;Azerbaijão;10,8158125;2018
Europa e Eurásia;Bielorrússia;19,31908293;2018
Europa e Eurásia;Bélgica;16,8741;2018
Europa e Eurásia;Bulgaria;3,022925;2018
Europa e Eurásia;Cazaquistão;19,43566283;2018
Europa e Eurásia;Croácia;2,818621687;2018
Europa e Eurásia;Dinamarca;3,140157116;2018
Europa e Eurásia;Eslováquia;4,652724783;2018
Europa e Eurásia;Eslovênia;0,853056168;2018
Europa e Eurásia;Estônia;0,470394309;2018
Europa e Eurásia;Espanha;31,46887579;2018
Europa e Eurásia;Finlândia ;2,043777778;2018
Europa e Eurásia;França;42,71209937;2018
Europa e Eurásia;Grécia ;4,734632388;2018
Europa e Eurásia;Holanda;35,69444444;2018
Europa e Eurásia;Hungria;9,610166667;2018
Europa e Eurásia;Irlanda;5,210539183;2018
Europa e Eurásia;Itália;69,21408311;2018
Europa e Eurásia;Letônia;1,3715625;2018
Europa e Eurásia;Lituânia;2,238687;2018
Europa e Eurásia;Luxemburgo;0,795114105;2018
Europa e Eurásia;Macedônia;0,243664714;2018
Europa e Eurásia;Noruega;4,482825153;2018
Europa e Eurásia;Polônia;19,73870334;2018
Europa e Eurásia;Portugal;5,854713099;2018
Europa e Eurásia;República Tcheca;7,982825;2018
Europa e Eurásia;Reino Unido;78,89678125;2018
Europa e Eurásia;Romênia;10,87161587;2018
Europa e Eurásia;Rússia;454,4993134;2018
Europa e Eurásia;Suécia;0,812083814;2018
Europa e Eurásia;Suíça;2,993019827;2018
Europa e Eurásia;Turquia;47,298202;2018
Europa e Eurásia;Turcomenistão;28,39233038;2018
Europa e Eurásia;Ucrânia;30,56907571;2018
Europa e Eurásia;Uzbequistão;42,59578294;2018
Europa e Eurásia;Outros;11,024966;2018
Oriente Médio;Arábia Saudita;112,1191965;2018
Oriente Médio;Catar;41,89311938;2018
Oriente Médio;Coveite;21,77809278;2018
Oriente Médio;Emirados Árabes Unidos;76,56399455;2018
Oriente Médio;Irã;225,5561699;2018
Oriente Médio;Iraque;17,0493009;2018
Oriente Médio;Israel;10,522925;2018
Oriente Médio;Omã;24,89500546;2018
Oriente Médio;Outros;22,7241263;2018
África;África do Sul;4,335411597;2018
África;África Central;4,424689727;2018
África;África Ocidental;24,40016781;2018
África;África Oriental;2,158651873;2018
África;Argélia;42,735;2018
África;Egito;59,5500352;2018
África;Marrocos;1,029637485;2018
África;Outros Norte da África;11,35759984;2018
Ásia-Pacífico;Austrália;41,39666804;2018
Ásia-Pacífico;Bangladesh;28,36543771;2018
Ásia-Pacífico;China;282,9959615;2018
Ásia-Pacífico;Cingapura;12,28628195;2018
Ásia-Pacífico;Coreia do Sul;55,94401128;2018
Ásia-Pacífico;Filipinas;4,088806742;2018
Ásia-Pacífico;Hong Kong;3,017350067;2018
Ásia-Pacífico;Índia;58,08992376;2018
Ásia-Pacífico;Indonésia;38,97346291;2018
Ásia-Pacífico;Japão;115,7081557;2018
Ásia-Pacífico;Malásia;41,27541737;2018
Ásia-Pacífico;Nova Zelândia;4,348795465;2018
Ásia-Pacífico;Paquistão;43,57942967;2018
Ásia-Pacífico;Tailândia;49,93403508;2018
Ásia-Pacífico;Taiwan;23,66213781;2018
Ásia-Pacífico;Vietnã;9,64035;2018
Ásia-Pacífico;Outros;12,01636929;2018
